imagenet_img_id,label
n02124075_1,Cat
n02124075_10012,Cat
n02124075_10024,Cat
n02124075_10033,Cat
n02124075_10034,Cat
n02124075_10035,Cat
n02124075_10047,Cat
n02124075_10051,Cat
n02124075_10052,Cat
n02124075_10058,Cat
n02124075_10071,Cat
n02124075_10103,Cat
n02124075_10131,Cat
n02124075_10155,Cat
n02124075_10162,Cat
n02124075_10190,Cat
n02124075_10241,Cat
n02124075_10245,Cat
n02124075_1027,Cat
n02124075_10310,Bottle
n02124075_10338,Cat
n02124075_10346,Cat
n02124075_10377,Cat
n02124075_10394,Cat
n02124075_10395,Cat
n02124075_10422,Cat
n02124075_10422,TV/Monitor
n02124075_10444,Cat
n02124075_10456,Cat
n02124075_10472,Cat
n02124075_10472,Sofa
n02124075_10523,Cat
n02124075_10525,Cat
n02124075_10541,Cat
n02124075_10541,Sofa
n02124075_10566,Dog
n02124075_10611,Cat
n02124075_10619,Cat
n02124075_10660,Cat
n02124075_10660,Sofa
n02124075_10681,Cat
n02124075_10694,Cat
n02124075_10701,Cat
n02124075_10718,Cat
n02124075_10746,Cat
n02124075_10750,Cat
n02124075_10774,Cat
n02124075_10775,Cat
n02124075_10792,Cat
n02124075_10880,Cat
n02124075_10887,Cat
n02124075_1089,Cat
n02124075_10894,Cat
n02124075_10896,Cat
n02124075_10903,Cat
n02124075_10908,Cat
n02124075_10910,Cat
n02124075_10914,Cat
n02124075_10923,Cat
n02124075_10976,Bird
n02124075_1100,Cat
n02124075_1102,Cat
n02124075_11030,Cat
n02124075_11039,Cat
n02124075_11044,Chair
n02124075_11044,Dog
n02124075_11053,Cat
n02124075_11089,Cat
n02124075_11089,Person
n02124075_1109,Cat
n02124075_11135,Cat
n02124075_11142,Cat
n02124075_11145,Person
n02124075_11145,Cat
n02124075_11160,Cat
n02124075_11176,Cat
n02124075_11194,Cat
n02124075_11203,Cat
n02124075_11209,Cat
n02124075_1121,Cat
n02124075_11243,Cat
n02124075_11251,Cat
n02124075_11252,Cat
n02124075_11259,Cat
n02124075_11344,Cat
n02124075_11413,Cat
n02124075_1144,Cat
n02124075_11452,Cat
n02124075_11473,Cat
n02124075_11489,Cat
n02124075_11526,Cat
n02124075_11528,Cat
n02124075_11529,Cat
n02124075_11537,Person
n02124075_11537,Cat
n02124075_11552,Cat
n02124075_11582,Cat
n02124075_11652,Cat
